"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C01_002E","S1902_C01_002M","S1902_C01_003E","S1902_C01_003M","S1902_C01_004E","S1902_C01_004M","S1902_C01_005E","S1902_C01_005M","S1902_C01_006E","S1902_C01_006M","S1902_C01_007E","S1902_C01_007M","S1902_C01_008E","S1902_C01_008M","S1902_C01_009E","S1902_C01_009M","S1902_C01_010E","S1902_C01_010M","S1902_C01_011E","S1902_C01_011M","S1902_C01_012E","S1902_C01_012M","S1902_C01_013E","S1902_C01_013M","S1902_C01_014E","S1902_C01_014M","S1902_C01_015E","S1902_C01_015M","S1902_C01_016E","S1902_C01_016M","S1902_C01_017E","S1902_C01_017M","S1902_C01_018E","S1902_C01_018M","S1902_C01_019E","S1902_C01_019M","S1902_C01_020E","S1902_C01_020M","S1902_C01_021E","S1902_C01_021M","S1902_C01_022E","S1902_C01_022M","S1902_C01_023E","S1902_C01_023M","S1902_C01_024E","S1902_C01_024M","S1902_C01_025E","S1902_C01_025M","S1902_C01_026E","S1902_C01_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_001E","S1902_C02_001M","S1902_C02_002E","S1902_C02_002M","S1902_C02_003E","S1902_C02_003M","S1902_C02_004E","S1902_C02_004M","S1902_C02_005E","S1902_C02_005M","S1902_C02_006E","S1902_C02_006M","S1902_C02_007E","S1902_C02_007M","S1902_C02_008E","S1902_C02_008M","S1902_C02_009E","S1902_C02_009M","S1902_C02_010E","S1902_C02_010M","S1902_C02_011E","S1902_C02_011M","S1902_C02_012E","S1902_C02_012M","S1902_C02_013E","S1902_C02_013M","S1902_C02_014E","S1902_C02_014M","S1902_C02_015E","S1902_C02_015M","S1902_C02_016E","S1902_C02_016M","S1902_C02_017E","S1902_C02_017M","S1902_C02_018E","S1902_C02_018M","S1902_C02_019E","S1902_C02_019M","S1902_C02_020E","S1902_C02_020M","S1902_C02_021E","S1902_C02_021M","S1902_C02_022E","S1902_C02_022M","S1902_C02_023E","S1902_C02_023M","S1902_C02_024E","S1902_C02_024M","S1902_C02_025E","S1902_C02_025M","S1902_C02_026E","S1902_C02_026M","S1902_C02_027E","S1902_C02_027M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months"
"0500000US42001","Adams County, Pennsylvania","38459","921","77.3","2.1","26.2","2.9","36.4","2","3.3","0.9","1.8","0.9","24","2.2","26965","1440","16.2","1.9","28.7","3.7","34.5","3.1","7.1","2","11.6","2.7","2","1.2","102295","*****","92.1","1.2","1.3","0.3","0","0.1","0.9","0.2","0","0.1","3.3","1.2","2.4","0.7","6.8","*****","89.2","0.1","27.5","(X)","27.2","(X)","20.9","(X)","72473","3791","72773","4472","8459","1948","19770","921","9515","1101","919","559","22987","2651","82335","4069","50197","5680","57006","5059","105673","6759","70792","9540","125226","13081","95161","17599","27698","1310","28932","1470","22128","12619","N","N","N","N","N","N","11662","2822","7342","3310","13738","2005","29230","1500","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42003","Allegheny County, Pennsylvania","530718","4663","75.9","0.7","24.3","0.8","33.2","0.6","5.6","0.4","2.9","0.3","18.8","0.6","302005","5220","14","0.7","32","1.3","33.7","1.1","9.6","0.8","8.9","0.7","1.8","0.4","1230459","*****","80.5","0.1","12.8","0.3","0.1","0.1","3.6","0.1","0","0.1","0.4","0.1","2.7","0.3","2","*****","79","0.1","33.6","(X)","34.4","(X)","27.6","(X)","76891","1478","80710","1988","16959","1650","18239","287","9312","386","2031","253","20317","1308","99071","2308","51230","4142","81891","4269","129393","4576","83912","5571","136622","6550","104382","24950","33983","650","37139","759","18852","1464","23807","10832","35360","4666","20287","4245","19661","6553","12368","2228","24723","3042","37332","780","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42005","Armstrong County, Pennsylvania","28068","890","66.5","2.7","23.7","2.8","43.4","2.3","5.6","1.3","2.4","1.2","28","2.5","18438","975","24","3","32.4","3.4","25.6","3.8","7.3","1.8","8.9","2.1","1.9","1.1","67052","*****","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","39.8","(X)","39.1","(X)","31","(X)","55814","2665","58682","3169","7921","3004","17650","757","9805","1046","N","N","18464","3491","66058","3212","39646","6436","58259","5115","83301","5194","65490","11807","111392","13306","91089","24954","24102","1079","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42007","Beaver County, Pennsylvania","69521","1427","73.5","1.8","23.6","1.9","40.1","1.8","6.9","1.4","2.5","0.8","24.2","2","45529","1819","17.4","2","32.8","2.7","29.4","2.9","9.9","1.9","8.8","1.7","1.6","0.7","168871","*****","90.9","0.1","6.2","0.6","0","0.1","0.6","0.2","0","0.1","0.2","0.1","2.2","0.6","1.5","*****","89.8","0.1","36.8","(X)","36.4","(X)","29.8","(X)","64488","3961","64317","3825","15910","9284","19285","658","9445","1228","1825","600","16313","1220","76602","5256","50481","18453","59788","8781","103529","6848","66306","8409","108791","9509","97316","14734","27307","1517","28643","1692","15346","2779","N","N","8022","3328","N","N","57660","21123","8349","4134","23989","13212","28760","1716","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42011","Berks County, Pennsylvania","151792","2097","76.1","1.6","24.3","1.3","35.2","1.4","6.5","0.9","2.2","0.5","19.9","1.1","103149","2538","15.1","1.4","29","2.1","33","1.9","11","1.4","9.2","1.2","2.7","0.9","415271","*****","83.7","1","5.3","0.5","1.3","0.6","1.5","0.2","0","0.1","3.4","0.7","4.8","0.9","19.4","*****","73.2","0.1","34.9","(X)","37.1","(X)","27.2","(X)","73796","2775","77662","3532","10626","2303","18595","637","8950","734","2398","636","20140","1608","86535","3431","44578","5751","70295","7105","114348","8924","69157","7298","129268","10913","79357","8308","28016","974","30565","1159","16861","4016","11469","4871","22868","6318","N","N","14616","2251","11289","2103","12174","1118","33101","1322","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42013","Blair County, Pennsylvania","52830","1044","66.6","2.2","19.6","2.4","41.6","2.3","6.6","1.4","4.9","1.4","22.5","2.3","33350","1466","21.8","2.8","27.2","3.2","29.4","3.5","9.9","2.5","9.2","2.4","2.4","1.4","125593","*****","94.9","0.2","1.2","0.8","0","0.1","0.8","0.2","0","0.1","1","0.2","2.1","0.8","1.2","*****","94.7","0.1","39.7","(X)","39","(X)","31.2","(X)","58940","3354","65707","4315","7366","2677","18087","893","9337","1489","3142","1208","18864","2386","71416","4913","37579","4851","57534","6498","95913","11608","72695","12203","111384","9900","77827","9458","25249","1340","25667","1366","14587","5883","N","N","35911","17256","N","N","N","N","10097","8652","N","N","25690","1367","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42017","Bucks County, Pennsylvania","234178","2088","80.9","0.7","28.7","1.2","33.5","0.9","3.6","0.5","1.6","0.3","20.7","1","166558","3681","12.3","0.8","26.7","1.7","35.7","1.7","9.5","1.1","12.9","1","2.9","0.7","627367","*****","88","0.4","3.9","0.2","0.2","0.1","4.8","0.2","0","0.1","1.3","0.4","1.8","0.4","5","*****","84.7","0.1","39.9","(X)","40.5","(X)","31","(X)","107387","3250","109510","3940","16494","2379","21653","617","10495","1118","2283","801","25699","1717","125746","3738","61166","5167","97999","6659","154642","6769","111918","10140","175588","13383","123508","16815","41418","1228","43152","1343","31439","4710","14763","6443","35729","3719","N","N","13050","5641","17602","4103","22075","3993","43772","1356","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42019","Butler County, Pennsylvania","74348","1263","77.1","1.7","27","2","35.5","1.2","4.5","1","1.8","0.6","21.5","1.8","53399","1653","16.1","2","28.7","2.6","34.2","2.2","9","1.5","10.4","1.7","1.6","0.6","186818","*****","96","0.2","0.9","0.3","0.1","0.1","0.8","0.1","0.1","0.1","0.1","0.1","1.9","0.3","1.4","*****","94.9","0.2","35.7","(X)","36.3","(X)","28.7","(X)","83005","2626","85689","3480","12862","2195","19220","721","9840","1374","2184","1200","22592","2157","96056","3224","49800","5643","81229","8124","117855","5456","87253","11670","138519","9499","135736","69670","33202","978","33713","998","22913","9867","N","N","38514","14283","N","N","N","N","9920","3756","23578","10596","33793","1026","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US42021","Cambria County, Pennsylvania","57044","1560","67.6","1.9","23.5","1.9","42.6","1.9","7.2","1.3","2.8","0.8","29.3","1.9","34744","1462","22.1","2.4","30.8","3.2","28.8","2.5","8.3","2","8.9","1.8","1","0.5","136411","*****","93.7","0.4","3.4","0.5","0.1","0.1","0.7","0.1","0","0.1","0.3","0.2","1.8","0.4","1.6","*****","93","0.1","32.1","(X)","30.9","(X)","25.4","(X)","56001","2790","58273","3620","7102","2751","18089","777","9390","726","1851","535","17710","1751","69835","4238","38585","3174","67107","12179","85337","4469","70413","11557","105022","10384","81516","11014","23827","1194","24782","1255","10265","2771","N","N","12399","9271","N","N","N","N","4554","1661","14488","5171","24836","1257","(X)","(X)","(X)","(X)","(X)","(X)"
