"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101352","*****"
"0500000US42003","Allegheny County, Pennsylvania","1224772","*****"
"0500000US42005","Armstrong County, Pennsylvania","68942","*****"
"0500000US42007","Beaver County, Pennsylvania","170614","*****"
"0500000US42009","Bedford County, Pennsylvania","49680","*****"
"0500000US42011","Berks County, Pennsylvania","411094","*****"
"0500000US42013","Blair County, Pennsylvania","127133","*****"
"0500000US42015","Bradford County, Pennsylvania","62628","*****"
"0500000US42017","Bucks County, Pennsylvania","625485","*****"
"0500000US42019","Butler County, Pennsylvania","183946","*****"
"0500000US42021","Cambria County, Pennsylvania","143305","*****"
"0500000US42023","Cameron County, Pennsylvania","5058","*****"
"0500000US42025","Carbon County, Pennsylvania","65101","*****"
"0500000US42027","Centre County, Pennsylvania","153758","*****"
"0500000US42029","Chester County, Pennsylvania","499548","*****"
"0500000US42031","Clarion County, Pennsylvania","39991","*****"
"0500000US42033","Clearfield County, Pennsylvania","81668","*****"
"0500000US42035","Clinton County, Pennsylvania","39261","*****"
"0500000US42037","Columbia County, Pennsylvania","66984","*****"
"0500000US42039","Crawford County, Pennsylvania","88492","*****"
"0500000US42041","Cumberland County, Pennsylvania","235314","*****"
"0500000US42043","Dauphin County, Pennsylvania","267891","*****"
"0500000US42045","Delaware County, Pennsylvania","558874","*****"
"0500000US42047","Elk County, Pennsylvania","31981","*****"
"0500000US42049","Erie County, Pennsylvania","280181","*****"
"0500000US42051","Fayette County, Pennsylvania","136914","*****"
"0500000US42053","Forest County, Pennsylvania","7664","*****"
"0500000US42055","Franklin County, Pennsylvania","149554","*****"
"0500000US42057","Fulton County, Pennsylvania","14829","*****"
"0500000US42059","Greene County, Pennsylvania","38614","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45931","*****"
"0500000US42063","Indiana County, Pennsylvania","88648","*****"
"0500000US42065","Jefferson County, Pennsylvania","45051","*****"
"0500000US42067","Juniata County, Pennsylvania","24664","*****"
"0500000US42069","Lackawanna County, Pennsylvania","214353","*****"
"0500000US42071","Lancaster County, Pennsylvania","519913","*****"
"0500000US42073","Lawrence County, Pennsylvania","90885","*****"
"0500000US42075","Lebanon County, Pennsylvania","133578","*****"
"0500000US42079","Luzerne County, Pennsylvania","320555","*****"
"0500000US42081","Lycoming County, Pennsylvania","116447","*****"
"0500000US42083","McKean County, Pennsylvania","43451","*****"
"0500000US42085","Mercer County, Pennsylvania","116474","*****"
"0500000US42087","Mifflin County, Pennsylvania","46694","*****"
"0500000US42089","Monroe County, Pennsylvania","169346","*****"
"0500000US42091","Montgomery County, Pennsylvania","799886","*****"
"0500000US42093","Montour County, Pennsylvania","18243","*****"
"0500000US42095","Northampton County, Pennsylvania","297519","*****"
"0500000US42097","Northumberland County, Pennsylvania","94441","*****"
"0500000US42099","Perry County, Pennsylvania","45791","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1525811","*****"
"0500000US42103","Pike County, Pennsylvania","57437","*****"
"0500000US42105","Potter County, Pennsylvania","17466","*****"
"0500000US42107","Schuylkill County, Pennsylvania","147935","*****"
"0500000US42109","Snyder County, Pennsylvania","39620","*****"
"0500000US42111","Somerset County, Pennsylvania","77638","*****"
"0500000US42113","Sullivan County, Pennsylvania","6453","*****"
"0500000US42115","Susquehanna County, Pennsylvania","43171","*****"
"0500000US42117","Tioga County, Pennsylvania","42081","*****"
"0500000US42119","Union County, Pennsylvania","44944","*****"
"0500000US42121","Venango County, Pennsylvania","54865","*****"
"0500000US42123","Warren County, Pennsylvania","41613","*****"
"0500000US42125","Washington County, Pennsylvania","207916","*****"
"0500000US42127","Wayne County, Pennsylvania","52299","*****"
"0500000US42129","Westmoreland County, Pennsylvania","364877","*****"
"0500000US42131","Wyoming County, Pennsylvania","28221","*****"
"0500000US42133","York County, Pennsylvania","434579","*****"
