"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","102180","*****"
"0500000US42003","Allegheny County, Pennsylvania","1225365","*****"
"0500000US42005","Armstrong County, Pennsylvania","66486","*****"
"0500000US42007","Beaver County, Pennsylvania","167429","*****"
"0500000US42011","Berks County, Pennsylvania","414812","*****"
"0500000US42013","Blair County, Pennsylvania","124650","*****"
"0500000US42017","Bucks County, Pennsylvania","626399","*****"
"0500000US42019","Butler County, Pennsylvania","186847","*****"
"0500000US42021","Cambria County, Pennsylvania","134732","*****"
"0500000US42025","Carbon County, Pennsylvania","63594","*****"
"0500000US42027","Centre County, Pennsylvania","161464","*****"
"0500000US42029","Chester County, Pennsylvania","516312","*****"
"0500000US42033","Clearfield County, Pennsylvania","80596","*****"
"0500000US42037","Columbia County, Pennsylvania","66420","*****"
"0500000US42039","Crawford County, Pennsylvania","86257","*****"
"0500000US42041","Cumberland County, Pennsylvania","248506","*****"
"0500000US42043","Dauphin County, Pennsylvania","273707","*****"
"0500000US42045","Delaware County, Pennsylvania","563402","*****"
"0500000US42049","Erie County, Pennsylvania","276207","*****"
"0500000US42051","Fayette County, Pennsylvania","132733","*****"
"0500000US42055","Franklin County, Pennsylvania","153851","*****"
"0500000US42063","Indiana County, Pennsylvania","86364","*****"
"0500000US42069","Lackawanna County, Pennsylvania","211321","*****"
"0500000US42071","Lancaster County, Pennsylvania","538500","*****"
"0500000US42073","Lawrence County, Pennsylvania","87294","*****"
"0500000US42075","Lebanon County, Pennsylvania","138863","*****"
"0500000US42079","Luzerne County, Pennsylvania","316383","*****"
"0500000US42081","Lycoming County, Pennsylvania","115248","*****"
"0500000US42085","Mercer County, Pennsylvania","112913","*****"
"0500000US42089","Monroe County, Pennsylvania","166098","*****"
"0500000US42091","Montgomery County, Pennsylvania","821725","*****"
"0500000US42095","Northampton County, Pennsylvania","302294","*****"
"0500000US42097","Northumberland County, Pennsylvania","92541","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1567872","*****"
"0500000US42107","Schuylkill County, Pennsylvania","143573","*****"
"0500000US42111","Somerset County, Pennsylvania","75061","*****"
"0500000US42125","Washington County, Pennsylvania","207981","*****"
"0500000US42129","Westmoreland County, Pennsylvania","355458","*****"
"0500000US42133","York County, Pennsylvania","443744","*****"
