"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101759","*****"
"0500000US42003","Allegheny County, Pennsylvania","1230360","*****"
"0500000US42005","Armstrong County, Pennsylvania","67512","*****"
"0500000US42007","Beaver County, Pennsylvania","169205","*****"
"0500000US42009","Bedford County, Pennsylvania","48852","*****"
"0500000US42011","Berks County, Pennsylvania","414097","*****"
"0500000US42013","Blair County, Pennsylvania","125917","*****"
"0500000US42015","Bradford County, Pennsylvania","61808","*****"
"0500000US42017","Bucks County, Pennsylvania","626220","*****"
"0500000US42019","Butler County, Pennsylvania","185974","*****"
"0500000US42021","Cambria County, Pennsylvania","137762","*****"
"0500000US42023","Cameron County, Pennsylvania","4807","*****"
"0500000US42025","Carbon County, Pennsylvania","64330","*****"
"0500000US42027","Centre County, Pennsylvania","159178","*****"
"0500000US42029","Chester County, Pennsylvania","512028","*****"
"0500000US42031","Clarion County, Pennsylvania","38939","*****"
"0500000US42033","Clearfield County, Pennsylvania","81170","*****"
"0500000US42035","Clinton County, Pennsylvania","39536","*****"
"0500000US42037","Columbia County, Pennsylvania","66772","*****"
"0500000US42039","Crawford County, Pennsylvania","87027","*****"
"0500000US42041","Cumberland County, Pennsylvania","243838","*****"
"0500000US42043","Dauphin County, Pennsylvania","271962","*****"
"0500000US42045","Delaware County, Pennsylvania","562316","*****"
"0500000US42047","Elk County, Pennsylvania","31111","*****"
"0500000US42049","Erie County, Pennsylvania","279133","*****"
"0500000US42051","Fayette County, Pennsylvania","134229","*****"
"0500000US42053","Forest County, Pennsylvania","7493","*****"
"0500000US42055","Franklin County, Pennsylvania","152707","*****"
"0500000US42057","Fulton County, Pennsylvania","14653","*****"
"0500000US42059","Greene County, Pennsylvania","37669","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45844","*****"
"0500000US42063","Indiana County, Pennsylvania","87491","*****"
"0500000US42065","Jefferson County, Pennsylvania","44575","*****"
"0500000US42067","Juniata County, Pennsylvania","24811","*****"
"0500000US42069","Lackawanna County, Pennsylvania","213006","*****"
"0500000US42071","Lancaster County, Pennsylvania","533110","*****"
"0500000US42073","Lawrence County, Pennsylvania","88528","*****"
"0500000US42075","Lebanon County, Pennsylvania","136950","*****"
"0500000US42079","Luzerne County, Pennsylvania","318917","*****"
"0500000US42081","Lycoming County, Pennsylvania","116313","*****"
"0500000US42083","McKean County, Pennsylvania","42609","*****"
"0500000US42085","Mercer County, Pennsylvania","114598","*****"
"0500000US42087","Mifflin County, Pennsylvania","46585","*****"
"0500000US42089","Monroe County, Pennsylvania","167126","*****"
"0500000US42091","Montgomery County, Pennsylvania","815876","*****"
"0500000US42093","Montour County, Pennsylvania","18404","*****"
"0500000US42095","Northampton County, Pennsylvania","300520","*****"
"0500000US42097","Northumberland County, Pennsylvania","93590","*****"
"0500000US42099","Perry County, Pennsylvania","45647","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1559938","*****"
"0500000US42103","Pike County, Pennsylvania","56210","*****"
"0500000US42105","Potter County, Pennsylvania","17239","*****"
"0500000US42107","Schuylkill County, Pennsylvania","145503","*****"
"0500000US42109","Snyder County, Pennsylvania","40246","*****"
"0500000US42111","Somerset County, Pennsylvania","76201","*****"
"0500000US42113","Sullivan County, Pennsylvania","6302","*****"
"0500000US42115","Susquehanna County, Pennsylvania","41832","*****"
"0500000US42117","Tioga County, Pennsylvania","42031","*****"
"0500000US42119","Union County, Pennsylvania","45178","*****"
"0500000US42121","Venango County, Pennsylvania","53460","*****"
"0500000US42123","Warren County, Pennsylvania","40649","*****"
"0500000US42125","Washington County, Pennsylvania","208269","*****"
"0500000US42127","Wayne County, Pennsylvania","51307","*****"
"0500000US42129","Westmoreland County, Pennsylvania","359377","*****"
"0500000US42131","Wyoming County, Pennsylvania","27975","*****"
"0500000US42133","York County, Pennsylvania","440604","*****"
