"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101767","*****"
"0500000US42003","Allegheny County, Pennsylvania","1231145","*****"
"0500000US42005","Armstrong County, Pennsylvania","67979","*****"
"0500000US42007","Beaver County, Pennsylvania","169785","*****"
"0500000US42009","Bedford County, Pennsylvania","49086","*****"
"0500000US42011","Berks County, Pennsylvania","413965","*****"
"0500000US42013","Blair County, Pennsylvania","126448","*****"
"0500000US42015","Bradford County, Pennsylvania","62228","*****"
"0500000US42017","Bucks County, Pennsylvania","626583","*****"
"0500000US42019","Butler County, Pennsylvania","185689","*****"
"0500000US42021","Cambria County, Pennsylvania","139381","*****"
"0500000US42023","Cameron County, Pennsylvania","4869","*****"
"0500000US42025","Carbon County, Pennsylvania","64634","*****"
"0500000US42027","Centre County, Pennsylvania","157823","*****"
"0500000US42029","Chester County, Pennsylvania","509797","*****"
"0500000US42031","Clarion County, Pennsylvania","39454","*****"
"0500000US42033","Clearfield County, Pennsylvania","81343","*****"
"0500000US42035","Clinton County, Pennsylvania","39614","*****"
"0500000US42037","Columbia County, Pennsylvania","66912","*****"
"0500000US42039","Crawford County, Pennsylvania","87343","*****"
"0500000US42041","Cumberland County, Pennsylvania","241427","*****"
"0500000US42043","Dauphin County, Pennsylvania","271094","*****"
"0500000US42045","Delaware County, Pennsylvania","561683","*****"
"0500000US42047","Elk County, Pennsylvania","31370","*****"
"0500000US42049","Erie County, Pennsylvania","279858","*****"
"0500000US42051","Fayette County, Pennsylvania","134851","*****"
"0500000US42053","Forest County, Pennsylvania","7581","*****"
"0500000US42055","Franklin County, Pennsylvania","152285","*****"
"0500000US42057","Fulton County, Pennsylvania","14694","*****"
"0500000US42059","Greene County, Pennsylvania","37938","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45906","*****"
"0500000US42063","Indiana County, Pennsylvania","87895","*****"
"0500000US42065","Jefferson County, Pennsylvania","44756","*****"
"0500000US42067","Juniata County, Pennsylvania","24829","*****"
"0500000US42069","Lackawanna County, Pennsylvania","213459","*****"
"0500000US42071","Lancaster County, Pennsylvania","530216","*****"
"0500000US42073","Lawrence County, Pennsylvania","89162","*****"
"0500000US42075","Lebanon County, Pennsylvania","135776","*****"
"0500000US42079","Luzerne County, Pennsylvania","320095","*****"
"0500000US42081","Lycoming County, Pennsylvania","116656","*****"
"0500000US42083","McKean County, Pennsylvania","42884","*****"
"0500000US42085","Mercer County, Pennsylvania","115320","*****"
"0500000US42087","Mifflin County, Pennsylvania","46675","*****"
"0500000US42089","Monroe County, Pennsylvania","167881","*****"
"0500000US42091","Montgomery County, Pennsylvania","812970","*****"
"0500000US42093","Montour County, Pennsylvania","18508","*****"
"0500000US42095","Northampton County, Pennsylvania","299616","*****"
"0500000US42097","Northumberland County, Pennsylvania","94006","*****"
"0500000US42099","Perry County, Pennsylvania","45677","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1555072","*****"
"0500000US42103","Pike County, Pennsylvania","56632","*****"
"0500000US42105","Potter County, Pennsylvania","17377","*****"
"0500000US42107","Schuylkill County, Pennsylvania","146360","*****"
"0500000US42109","Snyder County, Pennsylvania","40046","*****"
"0500000US42111","Somerset County, Pennsylvania","76617","*****"
"0500000US42113","Sullivan County, Pennsylvania","6381","*****"
"0500000US42115","Susquehanna County, Pennsylvania","42369","*****"
"0500000US42117","Tioga County, Pennsylvania","42284","*****"
"0500000US42119","Union County, Pennsylvania","44958","*****"
"0500000US42121","Venango County, Pennsylvania","53906","*****"
"0500000US42123","Warren County, Pennsylvania","40962","*****"
"0500000US42125","Washington County, Pennsylvania","208226","*****"
"0500000US42127","Wayne County, Pennsylvania","51642","*****"
"0500000US42129","Westmoreland County, Pennsylvania","361251","*****"
"0500000US42131","Wyoming County, Pennsylvania","28147","*****"
"0500000US42133","York County, Pennsylvania","439660","*****"
