"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101496","*****"
"0500000US42003","Allegheny County, Pennsylvania","1226933","*****"
"0500000US42005","Armstrong County, Pennsylvania","68614","*****"
"0500000US42007","Beaver County, Pennsylvania","170382","*****"
"0500000US42009","Bedford County, Pennsylvania","49490","*****"
"0500000US42011","Berks County, Pennsylvania","412078","*****"
"0500000US42013","Blair County, Pennsylvania","126940","*****"
"0500000US42015","Bradford County, Pennsylvania","62624","*****"
"0500000US42017","Bucks County, Pennsylvania","625977","*****"
"0500000US42019","Butler County, Pennsylvania","184535","*****"
"0500000US42021","Cambria County, Pennsylvania","142448","*****"
"0500000US42023","Cameron County, Pennsylvania","5000","*****"
"0500000US42025","Carbon County, Pennsylvania","65074","*****"
"0500000US42027","Centre County, Pennsylvania","154460","*****"
"0500000US42029","Chester County, Pennsylvania","503075","*****"
"0500000US42031","Clarion County, Pennsylvania","39720","*****"
"0500000US42033","Clearfield County, Pennsylvania","81536","*****"
"0500000US42035","Clinton County, Pennsylvania","39501","*****"
"0500000US42037","Columbia County, Pennsylvania","67021","*****"
"0500000US42039","Crawford County, Pennsylvania","88173","*****"
"0500000US42041","Cumberland County, Pennsylvania","237449","*****"
"0500000US42043","Dauphin County, Pennsylvania","269035","*****"
"0500000US42045","Delaware County, Pennsylvania","559771","*****"
"0500000US42047","Elk County, Pennsylvania","31799","*****"
"0500000US42049","Erie County, Pennsylvania","280518","*****"
"0500000US42051","Fayette County, Pennsylvania","136145","*****"
"0500000US42053","Forest County, Pennsylvania","7696","*****"
"0500000US42055","Franklin County, Pennsylvania","150594","*****"
"0500000US42057","Fulton County, Pennsylvania","14779","*****"
"0500000US42059","Greene County, Pennsylvania","38362","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45874","*****"
"0500000US42063","Indiana County, Pennsylvania","88404","*****"
"0500000US42065","Jefferson County, Pennsylvania","45015","*****"
"0500000US42067","Juniata County, Pennsylvania","24737","*****"
"0500000US42069","Lackawanna County, Pennsylvania","214275","*****"
"0500000US42071","Lancaster County, Pennsylvania","523306","*****"
"0500000US42073","Lawrence County, Pennsylvania","90374","*****"
"0500000US42075","Lebanon County, Pennsylvania","134411","*****"
"0500000US42079","Luzerne County, Pennsylvania","320827","*****"
"0500000US42081","Lycoming County, Pennsylvania","116604","*****"
"0500000US42083","McKean County, Pennsylvania","43294","*****"
"0500000US42085","Mercer County, Pennsylvania","116059","*****"
"0500000US42087","Mifflin County, Pennsylvania","46698","*****"
"0500000US42089","Monroe County, Pennsylvania","168947","*****"
"0500000US42091","Montgomery County, Pennsylvania","804621","*****"
"0500000US42093","Montour County, Pennsylvania","18379","*****"
"0500000US42095","Northampton County, Pennsylvania","298439","*****"
"0500000US42097","Northumberland County, Pennsylvania","94444","*****"
"0500000US42099","Perry County, Pennsylvania","45808","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1536704","*****"
"0500000US42103","Pike County, Pennsylvania","57179","*****"
"0500000US42105","Potter County, Pennsylvania","17487","*****"
"0500000US42107","Schuylkill County, Pennsylvania","147700","*****"
"0500000US42109","Snyder County, Pennsylvania","39711","*****"
"0500000US42111","Somerset County, Pennsylvania","77341","*****"
"0500000US42113","Sullivan County, Pennsylvania","6419","*****"
"0500000US42115","Susquehanna County, Pennsylvania","42948","*****"
"0500000US42117","Tioga County, Pennsylvania","42267","*****"
"0500000US42119","Union County, Pennsylvania","44932","*****"
"0500000US42121","Venango County, Pennsylvania","54590","*****"
"0500000US42123","Warren County, Pennsylvania","41429","*****"
"0500000US42125","Washington County, Pennsylvania","208047","*****"
"0500000US42127","Wayne County, Pennsylvania","52212","*****"
"0500000US42129","Westmoreland County, Pennsylvania","364090","*****"
"0500000US42131","Wyoming County, Pennsylvania","28177","*****"
"0500000US42133","York County, Pennsylvania","436339","*****"
