"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","102811","*****"
"0500000US42003","Allegheny County, Pennsylvania","1218452","*****"
"0500000US42005","Armstrong County, Pennsylvania","65263","*****"
"0500000US42007","Beaver County, Pennsylvania","164742","*****"
"0500000US42011","Berks County, Pennsylvania","420152","*****"
"0500000US42013","Blair County, Pennsylvania","122492","*****"
"0500000US42017","Bucks County, Pennsylvania","628195","*****"
"0500000US42019","Butler County, Pennsylvania","187888","*****"
"0500000US42021","Cambria County, Pennsylvania","131730","*****"
"0500000US42025","Carbon County, Pennsylvania","64227","*****"
"0500000US42027","Centre County, Pennsylvania","162805","*****"
"0500000US42029","Chester County, Pennsylvania","522046","*****"
"0500000US42033","Clearfield County, Pennsylvania","79388","*****"
"0500000US42037","Columbia County, Pennsylvania","65456","*****"
"0500000US42039","Crawford County, Pennsylvania","85063","*****"
"0500000US42041","Cumberland County, Pennsylvania","251423","*****"
"0500000US42043","Dauphin County, Pennsylvania","277097","*****"
"0500000US42045","Delaware County, Pennsylvania","564751","*****"
"0500000US42049","Erie County, Pennsylvania","272061","*****"
"0500000US42051","Fayette County, Pennsylvania","130441","*****"
"0500000US42055","Franklin County, Pennsylvania","154835","*****"
"0500000US42063","Indiana County, Pennsylvania","84501","*****"
"0500000US42069","Lackawanna County, Pennsylvania","210793","*****"
"0500000US42071","Lancaster County, Pennsylvania","543557","*****"
"0500000US42073","Lawrence County, Pennsylvania","86184","*****"
"0500000US42075","Lebanon County, Pennsylvania","141314","*****"
"0500000US42079","Luzerne County, Pennsylvania","317646","*****"
"0500000US42081","Lycoming County, Pennsylvania","113664","*****"
"0500000US42085","Mercer County, Pennsylvania","110683","*****"
"0500000US42089","Monroe County, Pennsylvania","169507","*****"
"0500000US42091","Montgomery County, Pennsylvania","828604","*****"
"0500000US42095","Northampton County, Pennsylvania","304807","*****"
"0500000US42097","Northumberland County, Pennsylvania","91083","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1584138","*****"
"0500000US42107","Schuylkill County, Pennsylvania","142067","*****"
"0500000US42111","Somerset County, Pennsylvania","73952","*****"
"0500000US42125","Washington County, Pennsylvania","207346","*****"
"0500000US42129","Westmoreland County, Pennsylvania","350611","*****"
"0500000US42133","York County, Pennsylvania","448273","*****"
