"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101589","*****"
"0500000US42003","Allegheny County, Pennsylvania","1229605","*****"
"0500000US42005","Armstrong County, Pennsylvania","66737","*****"
"0500000US42007","Beaver County, Pennsylvania","168161","*****"
"0500000US42009","Bedford County, Pennsylvania","48891","*****"
"0500000US42011","Berks County, Pennsylvania","415500","*****"
"0500000US42013","Blair County, Pennsylvania","124736","*****"
"0500000US42015","Bradford County, Pennsylvania","61546","*****"
"0500000US42017","Bucks County, Pennsylvania","626486","*****"
"0500000US42019","Butler County, Pennsylvania","185984","*****"
"0500000US42021","Cambria County, Pennsylvania","135871","*****"
"0500000US42023","Cameron County, Pennsylvania","4754","*****"
"0500000US42025","Carbon County, Pennsylvania","63987","*****"
"0500000US42027","Centre County, Pennsylvania","160646","*****"
"0500000US42029","Chester County, Pennsylvania","514652","*****"
"0500000US42031","Clarion County, Pennsylvania","38747","*****"
"0500000US42033","Clearfield County, Pennsylvania","80539","*****"
"0500000US42035","Clinton County, Pennsylvania","39321","*****"
"0500000US42037","Columbia County, Pennsylvania","66615","*****"
"0500000US42039","Crawford County, Pennsylvania","86847","*****"
"0500000US42041","Cumberland County, Pennsylvania","245801","*****"
"0500000US42043","Dauphin County, Pennsylvania","273329","*****"
"0500000US42045","Delaware County, Pennsylvania","563384","*****"
"0500000US42047","Elk County, Pennsylvania","30781","*****"
"0500000US42049","Erie County, Pennsylvania","277794","*****"
"0500000US42051","Fayette County, Pennsylvania","133160","*****"
"0500000US42053","Forest County, Pennsylvania","7388","*****"
"0500000US42055","Franklin County, Pennsylvania","153003","*****"
"0500000US42057","Fulton County, Pennsylvania","14631","*****"
"0500000US42059","Greene County, Pennsylvania","37338","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45686","*****"
"0500000US42063","Indiana County, Pennsylvania","86551","*****"
"0500000US42065","Jefferson County, Pennsylvania","44258","*****"
"0500000US42067","Juniata County, Pennsylvania","24448","*****"
"0500000US42069","Lackawanna County, Pennsylvania","211960","*****"
"0500000US42071","Lancaster County, Pennsylvania","536494","*****"
"0500000US42073","Lawrence County, Pennsylvania","88231","*****"
"0500000US42075","Lebanon County, Pennsylvania","137616","*****"
"0500000US42079","Luzerne County, Pennsylvania","318222","*****"
"0500000US42081","Lycoming County, Pennsylvania","115398","*****"
"0500000US42083","McKean County, Pennsylvania","42070","*****"
"0500000US42085","Mercer County, Pennsylvania","113623","*****"
"0500000US42087","Mifflin County, Pennsylvania","46452","*****"
"0500000US42089","Monroe County, Pennsylvania","167306","*****"
"0500000US42091","Montgomery County, Pennsylvania","818677","*****"
"0500000US42093","Montour County, Pennsylvania","18302","*****"
"0500000US42095","Northampton County, Pennsylvania","300941","*****"
"0500000US42097","Northumberland County, Pennsylvania","93038","*****"
"0500000US42099","Perry County, Pennsylvania","45878","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1569657","*****"
"0500000US42103","Pike County, Pennsylvania","55687","*****"
"0500000US42105","Potter County, Pennsylvania","17070","*****"
"0500000US42107","Schuylkill County, Pennsylvania","144287","*****"
"0500000US42109","Snyder County, Pennsylvania","40570","*****"
"0500000US42111","Somerset County, Pennsylvania","75619","*****"
"0500000US42113","Sullivan County, Pennsylvania","6192","*****"
"0500000US42115","Susquehanna County, Pennsylvania","41716","*****"
"0500000US42117","Tioga County, Pennsylvania","41550","*****"
"0500000US42119","Union County, Pennsylvania","45056","*****"
"0500000US42121","Venango County, Pennsylvania","52880","*****"
"0500000US42123","Warren County, Pennsylvania","40345","*****"
"0500000US42125","Washington County, Pennsylvania","207661","*****"
"0500000US42127","Wayne County, Pennsylvania","51656","*****"
"0500000US42129","Westmoreland County, Pennsylvania","356835","*****"
"0500000US42131","Wyoming County, Pennsylvania","27760","*****"
"0500000US42133","York County, Pennsylvania","442216","*****"
