"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","102295","*****"
"0500000US42003","Allegheny County, Pennsylvania","1230459","*****"
"0500000US42005","Armstrong County, Pennsylvania","67052","*****"
"0500000US42007","Beaver County, Pennsylvania","168871","*****"
"0500000US42011","Berks County, Pennsylvania","415271","*****"
"0500000US42013","Blair County, Pennsylvania","125593","*****"
"0500000US42017","Bucks County, Pennsylvania","627367","*****"
"0500000US42019","Butler County, Pennsylvania","186818","*****"
"0500000US42021","Cambria County, Pennsylvania","136411","*****"
"0500000US42025","Carbon County, Pennsylvania","63960","*****"
"0500000US42027","Centre County, Pennsylvania","160580","*****"
"0500000US42029","Chester County, Pennsylvania","515939","*****"
"0500000US42033","Clearfield County, Pennsylvania","80994","*****"
"0500000US42037","Columbia County, Pennsylvania","66672","*****"
"0500000US42039","Crawford County, Pennsylvania","86484","*****"
"0500000US42041","Cumberland County, Pennsylvania","246338","*****"
"0500000US42043","Dauphin County, Pennsylvania","272983","*****"
"0500000US42045","Delaware County, Pennsylvania","563894","*****"
"0500000US42049","Erie County, Pennsylvania","278045","*****"
"0500000US42051","Fayette County, Pennsylvania","133628","*****"
"0500000US42055","Franklin County, Pennsylvania","153638","*****"
"0500000US42063","Indiana County, Pennsylvania","86966","*****"
"0500000US42069","Lackawanna County, Pennsylvania","211917","*****"
"0500000US42071","Lancaster County, Pennsylvania","536624","*****"
"0500000US42073","Lawrence County, Pennsylvania","88082","*****"
"0500000US42075","Lebanon County, Pennsylvania","137067","*****"
"0500000US42079","Luzerne County, Pennsylvania","318449","*****"
"0500000US42081","Lycoming County, Pennsylvania","116048","*****"
"0500000US42085","Mercer County, Pennsylvania","114234","*****"
"0500000US42089","Monroe County, Pennsylvania","166397","*****"
"0500000US42091","Montgomery County, Pennsylvania","819264","*****"
"0500000US42095","Northampton County, Pennsylvania","300813","*****"
"0500000US42097","Northumberland County, Pennsylvania","93246","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1567442","*****"
"0500000US42107","Schuylkill County, Pennsylvania","144590","*****"
"0500000US42111","Somerset County, Pennsylvania","75522","*****"
"0500000US42125","Washington County, Pennsylvania","208261","*****"
"0500000US42129","Westmoreland County, Pennsylvania","357956","*****"
"0500000US42133","York County, Pennsylvania","442867","*****"
