"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101485","*****"
"0500000US42003","Allegheny County, Pennsylvania","1223583","*****"
"0500000US42005","Armstrong County, Pennsylvania","68839","*****"
"0500000US42007","Beaver County, Pennsylvania","170567","*****"
"0500000US42011","Berks County, Pennsylvania","411850","*****"
"0500000US42013","Blair County, Pennsylvania","127031","*****"
"0500000US42017","Bucks County, Pennsylvania","625472","*****"
"0500000US42019","Butler County, Pennsylvania","184059","*****"
"0500000US42021","Cambria County, Pennsylvania","143498","*****"
"0500000US42025","Carbon County, Pennsylvania","65220","*****"
"0500000US42027","Centre County, Pennsylvania","154127","*****"
"0500000US42029","Chester County, Pennsylvania","499797","*****"
"0500000US42033","Clearfield County, Pennsylvania","81562","*****"
"0500000US42037","Columbia County, Pennsylvania","67268","*****"
"0500000US42039","Crawford County, Pennsylvania","88657","*****"
"0500000US42041","Cumberland County, Pennsylvania","235861","*****"
"0500000US42043","Dauphin County, Pennsylvania","268220","*****"
"0500000US42045","Delaware County, Pennsylvania","559276","*****"
"0500000US42049","Erie County, Pennsylvania","280686","*****"
"0500000US42051","Fayette County, Pennsylvania","136446","*****"
"0500000US42055","Franklin County, Pennsylvania","149834","*****"
"0500000US42063","Indiana County, Pennsylvania","88847","*****"
"0500000US42069","Lackawanna County, Pennsylvania","214367","*****"
"0500000US42071","Lancaster County, Pennsylvania","520156","*****"
"0500000US42073","Lawrence County, Pennsylvania","90968","*****"
"0500000US42075","Lebanon County, Pennsylvania","133688","*****"
"0500000US42079","Luzerne County, Pennsylvania","320795","*****"
"0500000US42081","Lycoming County, Pennsylvania","116143","*****"
"0500000US42085","Mercer County, Pennsylvania","116558","*****"
"0500000US42089","Monroe County, Pennsylvania","169896","*****"
"0500000US42091","Montgomery County, Pennsylvania","801052","*****"
"0500000US42095","Northampton County, Pennsylvania","298101","*****"
"0500000US42097","Northumberland County, Pennsylvania","94366","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1528306","*****"
"0500000US42107","Schuylkill County, Pennsylvania","148228","*****"
"0500000US42111","Somerset County, Pennsylvania","77626","*****"
"0500000US42125","Washington County, Pennsylvania","207875","*****"
"0500000US42129","Westmoreland County, Pennsylvania","365012","*****"
"0500000US42133","York County, Pennsylvania","435490","*****"
