"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","101482","*****"
"0500000US42003","Allegheny County, Pennsylvania","1229338","*****"
"0500000US42005","Armstrong County, Pennsylvania","68409","*****"
"0500000US42007","Beaver County, Pennsylvania","170245","*****"
"0500000US42011","Berks County, Pennsylvania","413491","*****"
"0500000US42013","Blair County, Pennsylvania","127121","*****"
"0500000US42017","Bucks County, Pennsylvania","627053","*****"
"0500000US42019","Butler County, Pennsylvania","184970","*****"
"0500000US42021","Cambria County, Pennsylvania","141584","*****"
"0500000US42025","Carbon County, Pennsylvania","65006","*****"
"0500000US42027","Centre County, Pennsylvania","155171","*****"
"0500000US42029","Chester County, Pennsylvania","506575","*****"
"0500000US42033","Clearfield County, Pennsylvania","81184","*****"
"0500000US42037","Columbia County, Pennsylvania","66887","*****"
"0500000US42039","Crawford County, Pennsylvania","87598","*****"
"0500000US42041","Cumberland County, Pennsylvania","238614","*****"
"0500000US42043","Dauphin County, Pennsylvania","269665","*****"
"0500000US42045","Delaware County, Pennsylvania","561098","*****"
"0500000US42049","Erie County, Pennsylvania","280646","*****"
"0500000US42051","Fayette County, Pennsylvania","135660","*****"
"0500000US42055","Franklin County, Pennsylvania","151275","*****"
"0500000US42063","Indiana County, Pennsylvania","88218","*****"
"0500000US42069","Lackawanna County, Pennsylvania","214477","*****"
"0500000US42071","Lancaster County, Pennsylvania","526823","*****"
"0500000US42073","Lawrence County, Pennsylvania","89871","*****"
"0500000US42075","Lebanon County, Pennsylvania","135251","*****"
"0500000US42079","Luzerne County, Pennsylvania","321027","*****"
"0500000US42081","Lycoming County, Pennsylvania","117168","*****"
"0500000US42085","Mercer County, Pennsylvania","115655","*****"
"0500000US42089","Monroe County, Pennsylvania","168798","*****"
"0500000US42091","Montgomery County, Pennsylvania","808460","*****"
"0500000US42095","Northampton County, Pennsylvania","299267","*****"
"0500000US42097","Northumberland County, Pennsylvania","94428","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1547607","*****"
"0500000US42107","Schuylkill County, Pennsylvania","147063","*****"
"0500000US42111","Somerset County, Pennsylvania","76957","*****"
"0500000US42125","Washington County, Pennsylvania","208716","*****"
"0500000US42129","Westmoreland County, Pennsylvania","363395","*****"
"0500000US42133","York County, Pennsylvania","437846","*****"
