"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","102023","*****"
"0500000US42003","Allegheny County, Pennsylvania","1225561","*****"
"0500000US42005","Armstrong County, Pennsylvania","66331","*****"
"0500000US42007","Beaver County, Pennsylvania","166896","*****"
"0500000US42009","Bedford County, Pennsylvania","48611","*****"
"0500000US42011","Berks County, Pennsylvania","416642","*****"
"0500000US42013","Blair County, Pennsylvania","123842","*****"
"0500000US42015","Bradford County, Pennsylvania","61304","*****"
"0500000US42017","Bucks County, Pennsylvania","626370","*****"
"0500000US42019","Butler County, Pennsylvania","186566","*****"
"0500000US42021","Cambria County, Pennsylvania","134550","*****"
"0500000US42023","Cameron County, Pennsylvania","4686","*****"
"0500000US42025","Carbon County, Pennsylvania","63931","*****"
"0500000US42027","Centre County, Pennsylvania","161443","*****"
"0500000US42029","Chester County, Pennsylvania","517156","*****"
"0500000US42031","Clarion County, Pennsylvania","38827","*****"
"0500000US42033","Clearfield County, Pennsylvania","80216","*****"
"0500000US42035","Clinton County, Pennsylvania","39074","*****"
"0500000US42037","Columbia County, Pennsylvania","66220","*****"
"0500000US42039","Crawford County, Pennsylvania","86164","*****"
"0500000US42041","Cumberland County, Pennsylvania","247433","*****"
"0500000US42043","Dauphin County, Pennsylvania","274515","*****"
"0500000US42045","Delaware County, Pennsylvania","563527","*****"
"0500000US42047","Elk County, Pennsylvania","30608","*****"
"0500000US42049","Erie County, Pennsylvania","275972","*****"
"0500000US42051","Fayette County, Pennsylvania","132289","*****"
"0500000US42053","Forest County, Pennsylvania","7351","*****"
"0500000US42055","Franklin County, Pennsylvania","153751","*****"
"0500000US42057","Fulton County, Pennsylvania","14506","*****"
"0500000US42059","Greene County, Pennsylvania","37144","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45421","*****"
"0500000US42063","Indiana County, Pennsylvania","85755","*****"
"0500000US42065","Jefferson County, Pennsylvania","44084","*****"
"0500000US42067","Juniata County, Pennsylvania","24562","*****"
"0500000US42069","Lackawanna County, Pennsylvania","211454","*****"
"0500000US42071","Lancaster County, Pennsylvania","538347","*****"
"0500000US42073","Lawrence County, Pennsylvania","87382","*****"
"0500000US42075","Lebanon County, Pennsylvania","138674","*****"
"0500000US42079","Luzerne County, Pennsylvania","317884","*****"
"0500000US42081","Lycoming County, Pennsylvania","114859","*****"
"0500000US42083","McKean County, Pennsylvania","41806","*****"
"0500000US42085","Mercer County, Pennsylvania","112630","*****"
"0500000US42087","Mifflin County, Pennsylvania","46362","*****"
"0500000US42089","Monroe County, Pennsylvania","167586","*****"
"0500000US42091","Montgomery County, Pennsylvania","821301","*****"
"0500000US42093","Montour County, Pennsylvania","18294","*****"
"0500000US42095","Northampton County, Pennsylvania","301778","*****"
"0500000US42097","Northumberland County, Pennsylvania","92325","*****"
"0500000US42099","Perry County, Pennsylvania","45924","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1575522","*****"
"0500000US42103","Pike County, Pennsylvania","55498","*****"
"0500000US42105","Potter County, Pennsylvania","16937","*****"
"0500000US42107","Schuylkill County, Pennsylvania","143555","*****"
"0500000US42109","Snyder County, Pennsylvania","40466","*****"
"0500000US42111","Somerset County, Pennsylvania","74949","*****"
"0500000US42113","Sullivan County, Pennsylvania","6177","*****"
"0500000US42115","Susquehanna County, Pennsylvania","41340","*****"
"0500000US42117","Tioga County, Pennsylvania","41226","*****"
"0500000US42119","Union County, Pennsylvania","45114","*****"
"0500000US42121","Venango County, Pennsylvania","52376","*****"
"0500000US42123","Warren County, Pennsylvania","40035","*****"
"0500000US42125","Washington County, Pennsylvania","207547","*****"
"0500000US42127","Wayne County, Pennsylvania","51536","*****"
"0500000US42129","Westmoreland County, Pennsylvania","354751","*****"
"0500000US42131","Wyoming County, Pennsylvania","27588","*****"
"0500000US42133","York County, Pennsylvania","444014","*****"
