"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US42001","Adams County, Pennsylvania","100839","*****"
"0500000US42003","Allegheny County, Pennsylvania","1223066","*****"
"0500000US42005","Armstrong County, Pennsylvania","69489","*****"
"0500000US42007","Beaver County, Pennsylvania","171569","*****"
"0500000US42009","Bedford County, Pennsylvania","49882","*****"
"0500000US42011","Berks County, Pennsylvania","407310","*****"
"0500000US42013","Blair County, Pennsylvania","127071","*****"
"0500000US42015","Bradford County, Pennsylvania","62415","*****"
"0500000US42017","Bucks County, Pennsylvania","622859","*****"
"0500000US42019","Butler County, Pennsylvania","182554","*****"
"0500000US42021","Cambria County, Pennsylvania","144741","*****"
"0500000US42023","Cameron County, Pennsylvania","5197","*****"
"0500000US42025","Carbon County, Pennsylvania","64563","*****"
"0500000US42027","Centre County, Pennsylvania","151411","*****"
"0500000US42029","Chester County, Pennsylvania","490571","*****"
"0500000US42031","Clarion County, Pennsylvania","40290","*****"
"0500000US42033","Clearfield County, Pennsylvania","82131","*****"
"0500000US42035","Clinton County, Pennsylvania","38970","*****"
"0500000US42037","Columbia County, Pennsylvania","66642","*****"
"0500000US42039","Crawford County, Pennsylvania","89153","*****"
"0500000US42041","Cumberland County, Pennsylvania","231336","*****"
"0500000US42043","Dauphin County, Pennsylvania","264823","*****"
"0500000US42045","Delaware County, Pennsylvania","556468","*****"
"0500000US42047","Elk County, Pennsylvania","32480","*****"
"0500000US42049","Erie County, Pennsylvania","279234","*****"
"0500000US42051","Fayette County, Pennsylvania","138807","*****"
"0500000US42053","Forest County, Pennsylvania","7585","*****"
"0500000US42055","Franklin County, Pennsylvania","146558","*****"
"0500000US42057","Fulton County, Pennsylvania","14839","*****"
"0500000US42059","Greene County, Pennsylvania","39003","*****"
"0500000US42061","Huntingdon County, Pennsylvania","45830","*****"
"0500000US42063","Indiana County, Pennsylvania","88745","*****"
"0500000US42065","Jefferson County, Pennsylvania","45244","*****"
"0500000US42067","Juniata County, Pennsylvania","24385","*****"
"0500000US42069","Lackawanna County, Pennsylvania","213731","*****"
"0500000US42071","Lancaster County, Pennsylvania","511250","*****"
"0500000US42073","Lawrence County, Pennsylvania","91682","*****"
"0500000US42075","Lebanon County, Pennsylvania","131341","*****"
"0500000US42079","Luzerne County, Pennsylvania","319120","*****"
"0500000US42081","Lycoming County, Pennsylvania","116376","*****"
"0500000US42083","McKean County, Pennsylvania","43853","*****"
"0500000US42085","Mercer County, Pennsylvania","117296","*****"
"0500000US42087","Mifflin County, Pennsylvania","46583","*****"
"0500000US42089","Monroe County, Pennsylvania","168080","*****"
"0500000US42091","Montgomery County, Pennsylvania","790497","*****"
"0500000US42093","Montour County, Pennsylvania","18152","*****"
"0500000US42095","Northampton County, Pennsylvania","294536","*****"
"0500000US42097","Northumberland County, Pennsylvania","94099","*****"
"0500000US42099","Perry County, Pennsylvania","45599","*****"
"0500000US42101","Philadelphia County, Pennsylvania","1504950","*****"
"0500000US42103","Pike County, Pennsylvania","56993","*****"
"0500000US42105","Potter County, Pennsylvania","17583","*****"
"0500000US42107","Schuylkill County, Pennsylvania","148288","*****"
"0500000US42109","Snyder County, Pennsylvania","39400","*****"
"0500000US42111","Somerset County, Pennsylvania","78219","*****"
"0500000US42113","Sullivan County, Pennsylvania","6467","*****"
"0500000US42115","Susquehanna County, Pennsylvania","43343","*****"
"0500000US42117","Tioga County, Pennsylvania","41631","*****"
"0500000US42119","Union County, Pennsylvania","44866","*****"
"0500000US42121","Venango County, Pennsylvania","55320","*****"
"0500000US42123","Warren County, Pennsylvania","41877","*****"
"0500000US42125","Washington County, Pennsylvania","206987","*****"
"0500000US42127","Wayne County, Pennsylvania","52302","*****"
"0500000US42129","Westmoreland County, Pennsylvania","365841","*****"
"0500000US42131","Wyoming County, Pennsylvania","28262","*****"
"0500000US42133","York County, Pennsylvania","428175","*****"
